GeneID,BaseMean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
TCONS_00000727,15519.59526,-5.29585399,0.110194613,-48.05910054,0,0
TCONS_00001737,9460.939829,-4.863204089,0.181080869,-26.85653162,7.08E-159,2.34E-156
TCONS_00003072,38.85901023,-4.530332542,0.460595146,-9.835823468,7.89E-23,6.12E-22
TCONS_00005234,19697.3554,-4.227276488,0.220348791,-19.18447777,4.99E-82,2.68E-80
TCONS_00002856,730.3177759,-4.178225444,0.163331886,-25.58119885,2.47E-144,5.90E-142
TCONS_00005233,13117.65266,-4.135520173,0.219526955,-18.83832526,3.66E-79,1.73E-77
TCONS_00001678,29188.72994,-4.124118224,0.185432448,-22.24054241,1.39E-109,1.46E-107
TCONS_00002857,7321.244965,-4.005253992,0.217875862,-18.38319291,1.79E-75,7.86E-74
TCONS_00003299,708.7464439,-3.687571547,0.190522259,-19.35506943,1.85E-83,1.03E-81
TCONS_00005154,35348.81231,-3.669426723,0.188695113,-19.44632624,3.13E-84,1.79E-82
TCONS_00004648,291.5777309,4.137004878,0.262303048,15.77185212,4.86E-56,1.34E-54
TCONS_00002065,1014.483237,4.411371052,0.177319106,24.87814845,1.28E-136,2.21E-134
TCONS_00003336,530.6140634,4.494899495,0.48022581,9.359970673,7.98E-21,5.47E-20
TCONS_00000779,873.8873306,4.515105891,0.223498218,20.20197713,9.41E-91,6.03E-89
TCONS_00000746,291.8316157,4.60124033,0.243845993,18.8694523,2.03E-79,9.82E-78
TCONS_00000289,1285.547783,4.714481381,0.150230233,31.38170853,3.59E-216,1.72E-213
TCONS_00000288,1632.196211,4.726417653,0.518270383,9.11959821,7.54E-20,4.85E-19
TCONS_00004284,9866.443078,4.734457688,0.125706179,37.66288764,0,0
TCONS_00001809,2285.320158,5.239579154,0.134243507,39.03041028,0,0
TCONS_00003689,1865.268112,5.574655605,0.151889946,36.70193956,6.80E-295,5.85E-292
