Sample_ID,Snake_Species
SRR31526522,Gonyosoma_coeruleum
SRR31526523,Gonyosoma_coeruleum
SRR31526534,Gonyosoma_coeruleum
SRR31526542,Gonyosoma_coeruleum
SRR31526543,Gonyosoma_coeruleum
SRR31526544,Gonyosoma_coeruleum
SRR31526545,Gonyosoma_coeruleum
SRR31526546,Gonyosoma_coeruleum
SRR31526547,Gonyosoma_coeruleum
SRR31526548,Rhabdophis_pentasupralabralis
SRR31526524,Rhabdophis_pentasupralabralis
SRR31526525,Rhabdophis_pentasupralabralis
SRR31526526,Rhabdophis_pentasupralabralis
SRR31526527,Rhabdophis_pentasupralabralis
SRR31526528,Rhabdophis_pentasupralabralis
SRR31526529,Rhabdophis_pentasupralabralis
SRR31526530,Rhabdophis_pentasupralabralis
SRR31526531,Rhabdophis_pentasupralabralis
SRR31526532,Rhabdophis_tigrinus
SRR31526533,Rhabdophis_tigrinus
SRR31526535,Rhabdophis_tigrinus
SRR31526536,Rhabdophis_tigrinus
SRR31526537,Rhabdophis_tigrinus
SRR31526538,Rhabdophis_tigrinus
SRR31526539,Rhabdophis_tigrinus
SRR31526540,Rhabdophis_tigrinus
SRR31526541,Rhabdophis_tigrinus
,
